"","id","co_entidade","no_entidade","co_orgao_regional","co_regiao","co_mesorregiao","co_microrregiao","co_uf","co_municipio","co_distrito","tp_localizacao","tp_localizacao_diferenciada","geo_ref_latitude","geo_ref_longitude"
"23",23,29200296,"EE - CENTRO DE CAPACITACAO DE PROFISSIONAIS DA EDUCACAO -WILSON LINS-CAS BA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"24",24,29200318,"ESCOLA MUNICIPAL GISELIA PALMA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"25",25,29200342,"AEE - CENTRO ESTADUAL DE EDUCACAO PESTALOZZI DA BAHIA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"26",26,29180082,"CENTRO EDUCACIONAL ELIOENAI PASSOS FONSECA LTDA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"27",27,29180104,"EE - CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL EM LOGISTICA E TRANSPORTE LUIZ PINTO DE CARVALHO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"28",28,29180112,"NELIA CELESTINO SANTOS","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"29",29,29180147,"CENTRO EDUCACIONAL NOSSA SENHORA DO RESGATE","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"30",30,29180171,"MATER SAPIENS EMPREENDIMENTOS EDUCACIONAIS LTDA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"31",31,29180244,"ESCOLA MUNICIPAL PROFESSORA SUZANA IMBASSAHY","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"32",32,29180279,"CENTRO EDUCACIONAL ADVENTISTA DE AMARALINA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"33",33,29180287,"ESCOLA ADVENTISTA DO IAPI","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"34",34,29180325,"CENTRO EDUCACIONAL ANTONIETA SANTANA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"35",35,29180341,"CENTRO EDUCACIONAL BATISTA DE AMARALINA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"36",36,29180384,"CENTRO EDUCACIONAL COLINAS DE PITUACU","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"37",37,29180414,"CENTRO EDUCACIONAL CRUZEIRO DO SUL","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"38",38,29180490,"EE - CENTRO EDUCACIONAL EDGAR SANTOS","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"39",39,29189012,"EE - COLEGIO ESTADUAL DOUTOR AILTON PINTO DE ANDRADE","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"40",40,29189047,"EE - COLEGIO ESTADUAL ALBERTO VALENCA","26",2,2905,29021,29,2927408,292740805,1,6,NA,NA
"41",41,29189055,"ESCOLA ALEGRIA DO SABER","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"42",42,29189071,"ESCOLA MUNICIPAL ALFREDO AMORIM","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"43",43,29189080,"EE - COLEGIO ESTADUAL ALFREDO MAGALHAES - TEMPO INTEGRAL","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"44",44,29189110,"ESCOLA MUNICIPAL ALMERINDA COSTA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"45",45,29189128,"ESCOLA MUNICIPAL ALVARO DA FRANCA ROCHA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"46",46,29189160,"ESCOLA MUNICIPAL ALTO DE COUTOS","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"47",47,29189209,"ESCOLA ANA MARIA POPPOVIC","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"48",48,29189217,"ESCOLA MUNICIPAL ANA NERY","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"49",49,29189233,"ESCOLA MUNICIPAL ANDRE REBOUCAS","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"50",50,29189241,"EE - COLEGIO ESTADUAL ANFRISIA SANTIAGO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"51",51,29189284,"ESCOLA ANTONIO CORDEIRO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"52",52,29189292,"ESCOLA MUNICIPAL ANTONIO EUZEBIO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"53",53,29182190,"EE - COLEGIO DA POLICIA MILITAR - CPM JOAO FLORENCIO GOMES","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"54",54,29182204,"EE - COLEGIO ESTADUAL MARQUES DE MARICA - TEMPO INTEGRAL","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"55",55,29182220,"EE - COLEGIO ESTADUAL ODORICO TAVARES - TEMPO INTEGRAL","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"56",56,29182239,"EE - COLEGIO ESTADUAL PEDRO CALMON - TEMPO INTEGRAL","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"57",57,29182247,"EE - COLEGIO ESTADUAL DO STIEP CARLOS MARIGHELLA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"58",58,29182271,"EE - COLEGIO ESTADUAL RAPHAEL SERRAVALLE","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"59",59,29182280,"EE - COLEGIO ESTADUAL URSULA CATHARINO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"60",60,29182298,"COLEGIO FISCHER","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"61",61,29182301,"COLEGIO FLAMBOYANTS LTDA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"62",62,29182344,"COLEGIO INTEGRAL","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"63",63,29182387,"META EMPREENDIMENTOS EDUCACIONAIS LTDA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"64",64,29182395,"COLEGIO MILITAR DE SALVADOR","0",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"65",65,29182409,"COLEGIO MODULO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"66",66,29182417,"ESCOLA GENESIS LTDA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"67",67,29184622,"ESCOLA MUNICIPAL CIDADE VITORIA DA CONQUISTA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"68",68,29184657,"ESCOLA MUNICIPAL CLAUDEMIRA SANTOS LIMA","26",2,2905,29021,29,2927408,292740805,2,4,NA,NA
"69",69,29184665,"ESCOLA MUNICIPAL CLEMILDA ANDRADE","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"70",70,29184681,"ESCOLA MUNICIPAL COMUNITARIA DO BOM JUA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"71",71,29184789,"ESCOLA MUNICIPAL CONSTANCA MEDEIROS","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"72",72,29184797,"ESCOLA MUNICIPAL CORACAO DE JESUS","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"73",73,29184851,"ESCOLA MUNICIPAL D ISABEL BRANDAO VILELA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"74",74,29184860,"ESCOLA MUNICIPAL ASSISTENCIA SOCIAL SAO JOSE","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"75",75,29184894,"ESCOLA DE EDUCACAO BASICA E PROFISSIONAL FUNDACAO BRADESCO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"76",76,29184916,"EE - COLEGIO ESTADUAL DESEMBARGADOR PEDRO RIBEIRO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"77",77,29184932,"EE - COLEGIO ESTADUAL PROFESSOR EDSON CARNEIRO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"78",78,29184983,"EE - COLEGIO ESTADUAL PROFESSORA LEILA RUBENS FONSECA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"79",79,29185068,"ESCOLA DIVINA SORAYA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"80",80,29185165,"ESCOLA MUNICIPAL DR OTAVIANO PIMENTA","26",2,2905,29021,29,2927408,292740805,1,4,NA,NA
"81",81,29187010,"EE - COLEGIO ESTADUAL POLIVALENTE SAN DIEGO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"82",82,29187044,"ESCOLA MUNICIPAL PRESIDENTE CASTELO BRANCO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"83",83,29187060,"ESCOLA MUNICIPAL PRESIDENTE MEDICI","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"84",84,29187079,"EE - ESCOLA PRESCILIANO SILVA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"85",85,29187087,"ESCOLA MUNICIPAL PRIMEIRO DE MAIO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"86",86,29187095,"EE - COLEGIO ESTADUAL PRINCESA IZABEL","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"87",87,29187117,"ESCOLA MUNICIPAL PROFESSOR AFONSO TEMPORAL","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"88",88,29187176,"ESCOLA MUNICIPAL PROFESSOR ARISTIDES NOVIS","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"89",89,29187206,"ESCOLA PROFESSOR BERNARDINO MOREIRA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"90",90,29187249,"ESCOLA MUNICIPAL PROFESSOR FREIRE FILHO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"91",91,29187303,"EE - COLEGIO ESTADUAL LUIZ FERNANDO MACEDO COSTA - TEMPO INTEGRAL","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"92",92,29187320,"EE - CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL EM GESTAO NEGOCIOS E TURISMO LUIZ NAVARRO DE BRITO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"93",93,29187338,"ESCOLA MUNICIPAL PROFESSORA MARIA JOSE DE PAULA MOREIRA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"94",94,29187346,"EE - ESCOLA PROFESSOR ROBERTO SANTOS","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"95",95,29194288,"ESCOLA MUNICIPAL DE PERNAMBUES","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"96",96,29194296,"ESCOLA MUNICIPAL DE PITUACU","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"97",97,29194326,"ESCOLA MUNICIPAL DO BEIRU","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"98",98,29194334,"ESCOLA MUNICIPAL DO CALABETAO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"99",99,29194350,"ESCOLA MUNICIPAL ESTHER FELIX DA SILVA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"100",100,29194385,"ESCOLA MUNICIPAL FAZENDA GRANDE II MINISTRO CARLOS SANTANA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"101",101,29194393,"ESCOLA MUNICIPAL FONTE DO CAPIM","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"102",102,29194415,"ESCOLA MUNICIPAL LAGOA DO ABAETE","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"103",103,29194458,"ESCOLA MUNICIPAL MIRANTES DE PERIPERI","26",2,2905,29021,29,2927408,292740805,1,4,NA,NA
"104",104,29194466,"ESCOLA MUNICIPAL DE NOVO MAROTINHO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"105",105,29194490,"CENTRO MUNICIPAL DE EDUCACAO INFANTIL PAROQUIAL DE SANTANA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"106",106,29194504,"ESCOLA MUNICIPAL SIMOES FILHO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"107",107,29194539,"ESCOLA MUNICIPAL ENGENHO VELHO DA FEDERACAO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"108",108,29194547,"ESCOLA MUNICIPAL VALE DAS PEDRINHAS","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"109",109,29194563,"ESCOLA MUNICIPAL MURILO CELESTINO COSTA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"110",110,29190460,"ESCOLA MUNICIPAL COSME DE FARIAS","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"111",111,29190495,"CENTRO MUNICIPAL DE EDUCACAO INFANTIL ASSOCIACAO CRISTA FEMININA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"112",112,29190509,"CENTRO MUNICIPAL DE EDUCACAO INFANTIL NOSSA SENHORA DA VITORIA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"113",113,29190517,"ESCOLA CRESCA E APARECA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"114",114,29190592,"CENTRO MUNICIPAL DE EDUCACAO INFANTIL CSU MAJOR COSME DE FARIAS","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"115",115,29190630,"EE - ESCOLA CUPERTINO DE LACERDA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"116",116,29190657,"ESCOLA MUNICIPAL HELENA MAGALHAES","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"117",117,29190665,"ESCOLA MUNICIPAL D PEDRO I","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"118",118,29190681,"ESCOLA MUNICIPAL COMUNITARIA DA HISTARTE","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"119",119,29190690,"ESCOLA MUNICIPAL SOCIEDADE TOME DE SOUZA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"120",120,29190720,"EE - COLEGIO ESTADUAL DANIEL LISBOA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"121",121,29190738,"EE - COLEGIO ESTADUAL DANTAS JUNIOR","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"122",122,29190754,"EE - COLEGIO ESTADUAL DOUTOR JOAO PEDRO DOS SANTOS","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"123",123,29190762,"ESCOLA MUNICIPAL ZULMIRA TORRES","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"124",124,29190770,"EE - COLEGIO ESTADUAL ALBERTO SANTOS DUMONT","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"125",125,29191424,"ESCOLA DINAMICA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"126",126,29191432,"EMPRE DINAMICO DE EDUC MONTESSORIANO LTDA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"127",127,29191467,"COLEGIO KENNEDY","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"128",128,29191513,"EE - ESCOLA DE 1º GRAU JESUS CRISTO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"129",129,29191521,"ESCOLA DO BOZO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"130",130,29191548,"ESCOLA MUNICIPAL DO PESCADOR","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"131",131,29191572,"EE - ESCOLA DOM AVELAR BRANDAO VILELA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"132",132,29191580,"CENTRO MUNICIPAL DE EDUCACAO INFANTIL DOM BOSCO I","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"133",133,29191599,"ESCOLA MUNICIPAL D EUGENIO DE ARAUJO SALES","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"134",134,29191602,"ESCOLA DOM FRANCISCO LEITE","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"135",135,29191637,"EE - ESCOLA DONA JENNY GOMES","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"136",136,29191645,"ESCOLA DORILANDIA LTDA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"137",137,29191661,"EE - COLEGIO ESTADUAL BARROS BARRETO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"138",138,29191670,"ESCOLA MUNICIPAL ENG CARLOS BATALHA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"139",139,29191696,"ESCOLA MUNICIPAL DR EDUARDO DOTO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"140",140,29192684,"EE - COLEGIO ESTADUAL PRESIDENTE GETULIO VARGAS","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"141",141,29192692,"ESCOLA GIRASSOL","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"142",142,29192790,"EE - COLEGIO ESTADUAL HENRIQUETA MARTINS CATHARINO - TEMPO INTEGRAL","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"143",143,29192803,"ESCOLA MUNICIPAL HERCILIA MOREIRA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"144",144,29192811,"ESCOLA MUNICIPAL HILBERTO SILVA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"145",145,29192838,"ESCOLA MUNICIPAL HILDETE BAHIA DE SOUZA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"146",146,29192846,"ESCOLA MUNICIPAL HILDETE LOMANTO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"147",147,29192862,"ESCOLA INOVACAO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"148",148,29192889,"EE - COLEGIO ESTADUAL DOIS DE JULHO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"149",149,29192927,"ESCOLA MUNICIPAL IRMA ELISA MARIA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"150",150,29192986,"ESCOLA MUNICIPAL IACY VAZ FAGUNDES","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"151",151,29193001,"ESCOLA MUNICIPAL JAIME VIEIRA LIMA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"152",152,29193010,"ESCOLA MUNICIPAL JANDIRA DANTAS COSTA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"153",153,29193036,"CENTRO DE EDUCACAO NOVAS IDEIAS","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"154",154,29428181,"EE - COLEGIO ESTADUAL LANDULFO ALVES","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"155",155,29196728,"ESCOLA TURMA CARINHOSA DA MONICA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"156",156,29196795,"ESCOLA MUNICIPAL VISCONDE DE CAIRU DE BROTAS","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"157",157,29196850,"ESCOLA MUNICIPAL DEPUTADO CRISTOVAO FERREIRA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"158",158,29197252,"ESCOLA CRIACAO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"159",159,29197309,"ESCOLINHA RECANTO DE TIA EURIDICE","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"160",160,29197597,"CENTRO EDUCACIONAL YARA NEVES","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"161",161,29197635,"ESCOLINHA KIMIMO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"162",162,29197937,"ESCOLINHA NOSSA SENHORA SANTANA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"163",163,29198240,"ESCOLA RECANTO DA EMILIA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"164",164,29198267,"ESCOLINHA RECREANCA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"165",165,29198330,"ESCOLINHA SANTO ANTONIO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"166",166,29198429,"ESCOLINHA SONHO INFANTIL","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"167",167,29198763,"ESCOLINHA ZIP ZAP","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"168",168,29198771,"ESCOLA MUNICIPAL SOCIEDADE 6 DE JANEIRO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"169",169,29180520,"COLEGIO EMMANUEL KANT CAIXA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"170",170,29180570,"CENTRO EDUCACIONAL GABRIELA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"171",171,29180686,"CENTRO EDUCACIONAL MARIA JOSE","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"172",172,29180813,"CENTRO EDUCACIONAL PARAGUARI","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"173",173,29180902,"CENTRO EDUCACIONAL SAO RAFAEL","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"174",174,29180953,"CENTRO EDUCACIONAL SOL NASCENTE","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"175",175,29181003,"COLEGIO INTERATIVO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"176",176,29181062,"CENTRO ESCOLAR ANAMELIA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"177",177,29181119,"EE - COLEGIO ESTADUAL LUIZ TARQUINIO - TEMPO INTEGRAL","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"178",178,29181143,"EE - COLEGIO ESTADUAL LUIS VIANA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"179",179,29181151,"EE - CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL EM SAUDE ANISIO TEIXEIRA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"180",180,29181224,"ESCOLA MUNICIPAL CENTRO SOCIAL NEUSA NERY","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"181",181,29181232,"ESCOLA MUNICIPAL SANTA TEREZINHA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"182",182,29181259,"CENTRO MUNICIPAL DE EDUCACAO INFANTIL JOSE RENATO MONTEIRO LOBATO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"183",183,29189390,"ESCOLA MUNICIPAL ARMANDO CARNEIRO DA ROCHA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"184",184,29189411,"COLEGIO ARTE LTDA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"185",185,29189454,"EE - COLEGIO ESTADUAL ASSIS CHATEAUBRIAND","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"186",186,29189470,"ESCOLA MUNICIPAL DESPORTIVA SANTA RITA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"187",187,29189497,"ESCOLA MUNICIPAL AUSTRICLIANO DE CARVALHO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"188",188,29189527,"ESCOLA MUNICIPAL BARAO DO RIO BRANCO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"189",189,29189543,"ESCOLA MUNICIPAL BARBOSA RODRIGUES","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"190",190,29189551,"CENTRO MUNICIPAL DE EDUCACAO INFANTIL BARONESA DE SAUIPE","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"191",191,29189578,"ESCOLA MUNICIPAL BATISTA DE SAN MARTIM","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"192",192,29189608,"ESCOLA MUNICIPAL BATISTA VASCO DA GAMA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"193",193,29189624,"ESCOLA MUNICIPAL BEZERRA DE MENEZES","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"194",194,29189675,"ESCOLA MUNICIPAL BRIGADEIRO EDUARDO GOMES","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"195",195,29189683,"BATISTA E BARRETTO LTDA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"196",196,29189764,"ESCOLA VILLA LAURA LTDA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"197",197,29182433,"COLEGIO NOSSA SENHORA DA CONCEICAO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"198",198,29182441,"COLEGIO NOSSA SENHORA DA SOLEDADE","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"199",199,29182468,"COLEGIO NOSSA SRA DAS MERCES","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"200",200,29182565,"EE - COLEGIO ESTADUAL ROTARY","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"201",201,29182581,"COLEGIO SALESIANO DO SALVADOR","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
